Word,Count,Positive TFIDF,Neutral TFIDF,Negative TFIDF
hawan,1,0,0,0.0020812894104227193
siguru,1,0,0.0014380321530340938,0
sama,5,0.0036563679359712864,0.0038057469988789882,0.0023406894402621245
runda,1,0,0.0011908023295254867,0
gunang,1,0,0.0014380321530340938,0
buhing,1,0,0.0014380321530340938,0
katawan,1,0,0.0011486910959639031,0
kilusang,1,0,0.0011590247051449815,0
kayu,1,0,0,0.0021504627517132274
gkabangi,1,0,0.0011848587280976772,0
taliu,1,0,0.0010718348776796339,0
kahibawu,1,0,0.0011486910959639031,0
syudad,2,0,0.001546535049435415,0.0022591637165983117
sunug,5,0,0.0014380321530340938,0.003125510236806999
numanu,1,0,0.0014380321530340938,0
sila,22,0.004248784511512112,0.003270239470808523,0.003642042395845919
kapamilya,1,0,0.0013140288428611549,0
kuliksiy,1,0.0033264787120130227,0,0
sunud,6,0,0.00225692334989457,0.002033400174144675
kalang,1,0.003864075965870934,0,0
kasulbad,1,0,0.0012451381149873003,0
bisaya,1,0,0.0010815226362868946,0
pahimangnu,1,0,0,0.0021980194238504515
glutu,1,0,0.0013140288428611549,0
pangtakda,1,0,0.0011316710337833037,0
ghatag,1,0.003745385663071135,0,0
spinidu,3,0.004279492025670229,0.0020890495314420223,0.0022591637165983117
nuudlis,1,0.003587131926004737,0,0
bahu,1,0,0.0011428983742358886,0
sikritu,1,0,0,0.002033400174144675
tumung,1,0,0,0.002454825453391463
jusi,2,0.0036563679359712864,0.001221026360231451,0
apil,4,0,0.0013201467558139046,0.0029983766604240376
tiwas,1,0.0035317431180314977,0,0
juvii,1,0,0,0.0022591637165983117
ritis,1,0,0.0010718348776796339,0
lawum,1,0,0,0.002033400174144675
duguk,1,0,0.0014380321530340938,0
wriathlaying,1,0,0.001221026360231451,0
kapahunung,1,0,0,0.002454825453391463
kaupirati,1,0.0036563679359712864,0,0
sabutahi,1,0,0.0011316710337833037,0
musunud,2,0,0.0015021052663532846,0
kaataki,1,0,0,0.0021124174140034475
ntigu,1,0.003448659906071639,0,0
adlawa,1,0.003344805891121815,0,0
anug,2,0,0.0012752778084321116,0.0026260294730854703
nggagawa,1,0,0.0011590247051449815,0
dunay,7,0.0034263291360264975,0.0019915960825013816,0.0021124174140034475
akusah,1,0,0,0.0021980194238504515
sakup,5,0.0035317431180314977,0.001365696888766546,0.0027471197155995502
prutista,4,0,0.0013473693948124086,0.0023000726958597507
aslan,1,0,0,0.0022591637165983117
litar,2,0,0.0013807232809011011,0
bagu,1,0,0.0013153235042566058,0
kapuy,1,0,0.0014380321530340938,0
pahunung,1,0.003745385663071135,0,0
lich,6,0.003994663578312711,0,0.002922335835797609
karung,7,0.003344805891121815,0.0018308539507494376,0
lacs,9,0.004330425302461052,0.0018632834604357718,0.0021504627517132274
paduul,1,0.0034167048245486156,0,0
kurapsy,5,0,0.0013153235042566058,0.002899949794573989
pusil,1,0.0036563679359712864,0,0
cabadiang,1,0,0.001365696888766546,0
tung,1,0,0.001130615283428256,0
sulidu,1,0,0,0.00196023606316433
panuburnu,1,0,0,0.002454825453391463
cayitanu,1,0,0.001546535049435415,0
kining,9,0.005248796165201917,0.001878630987643697,0.0023219761388863754
kandidatura,1,0,0.0011848587280976772,0
